iter	Passed	Remaining
415	2875	66252
416	2883	66259
417	2890	66265
418	2897	66258
419	2902	66211
420	2912	66257
421	2917	66207
422	2928	66306
423	2934	66267
424	2942	66289
425	2949	66291
426	2959	66342
427	2963	66282
428	2966	66192
429	2974	66209
430	2980	66175
431	2989	66206
432	2995	66183
433	3000	66144
434	3007	66136
435	3014	66135
436	3023	66171
437	3030	66154
438	3038	66170
439	3045	66178
440	3053	66179
441	3059	66154
442	3065	66131
443	3071	66115
444	3077	66077
445	3084	66064
446	3089	66034
447	3095	65990
448	3104	66031
449	3109	65994
450	3116	65982
451	3122	65954
452	3127	65921
453	3135	65923
454	3141	65906
455	3147	65881
456	3153	65848
457	3157	65792
458	3164	65773
459	3169	65723
460	3173	65675
461	3180	65658
462	3185	65621
463	3190	65580
464	3197	65557
465	3202	65522
466	3208	65501
467	3214	65471
468	3220	65452
469	3227	65433
470	3232	65407
471	3247	65546
472	3255	65566
473	3261	65551
474	3267	65528
475	3273	65500
476	3278	65459
477	3284	65438
478	3291	65423
479	3297	65394
480	3301	65343
481	3308	65325
482	3314	65302
483	3319	65265
484	3325	65244
485	3331	65221
486	3337	65195
487	3343	65169
488	3348	65124
489	3353	65092
490	3360	65074
491	3365	65038
492	3372	65027
493	3377	65001
494	3382	64952
495	3389	64939
496	3392	64864
497	3398	64838
498	3404	64822
499	3410	64797
500	3416	64785
501	3422	64754
502	3428	64734
503	3436	64741
504	3441	64707
505	3450	64735
506	3456	64721
507	3461	64682
508	3468	64670
509	3474	64647
510	3479	64615
511	3485	64597
512	3492	64596
513	3499	64592
514	3505	64565
515	3510	64525
516	3517	64523
517	3523	64489
518	3529	64480
519	3535	64460
520	3541	64431
521	3548	64426
522	3553	64395
523	3558	64360
524	3566	64360
525	3571	64331
526	3577	64310
527	3583	64282
528	3588	64242
529	3594	64231
530	3600	64198
531	3605	64163
532	3612	64168
533	3617	64127
534	3623	64096
535	3631	64123
536	3636	64087
537	3645	64106
538	3650	64078
539	3660	64129
540	3666	64100
541	3671	64070
542	3679	64074
543	3684	64052
544	3692	64052
545	3698	64044
546	3710	64129
547	3724	64233
548	3740	64397
549	3760	64618
550	3782	64861
551	3800	65042
552	3811	65116
553	3828	65277
554	3837	65301
555	3844	65304
556	3850	65273
557	3859	65314
558	3866	65298
559	3876	65353
560	3886	65393
561	3890	65342
562	3896	65309
563	3904	65327
564	3911	65320
565	3920	65340
566	3925	65312
567	3934	65337
568	3941	65334
569	3946	65297
570	3956	65327
571	3963	65321
572	3970	65317
573	3977	65314
574	3983	65302
575	3991	65310
576	4000	65327
577	4006	65307
578	4011	65268
579	4018	65265
580	4025	65253
581	4028	65190
582	4035	65188
583	4041	65160
584	4048	65160
585	4055	65146
586	4060	65112
587	4066	65099
588	4072	65072
589	4080	65073
590	4083	65018
591	4089	64986
592	4096	64979
593	4101	64954
594	4107	64922
595	4114	64926
596	4118	64861
597	4123	64829
598	4127	64776
599	4131	64719
600	4137	64698
601	4144	64699
602	4150	64679
603	4157	64674
604	4163	64653
605	4169	64626
606	4176	64627
607	4182	64601
608	4189	64598
609	4194	64570
610	4201	64558
611	4209	64576
612	4222	64658
613	4229	64652
614	4234	64615
615	4241	64608
616	4248	64616
617	4260	64679
618	4266	64664
619	4277	64718
620	4283	64690
621	4292	64723
622	4296	64661
623	4304	64679
624	4310	64663
625	4320	64692
626	4326	64680
627	4331	64647
628	4339	64645
629	4344	64613
630	4354	64658
631	4360	64629
632	4369	64664
633	4374	64627
634	4383	64652
635	4389	64633
636	4401	64696
637	4408	64683
638	4413	64660
639	4420	64652
640	4429	64667
641	4436	64661
642	4442	64645
643	4450	64656
644	4457	64647
645	4464	64642
646	4470	64629
647	4478	64641
648	4485	64629
649	4491	64610
650	4497	64582
651	4502	64559
652	4509	64549
653	4516	64538
654	4522	64524
655	4528	64496
656	4533	64470
657	4540	64469
658	4546	64439
659	4551	64414
660	4558	64410
661	4564	64391
662	4571	64387
663	4577	64365
664	4583	64336
665	4590	64333
666	4595	64299
667	4600	64272
668	4606	64248
669	4611	64222
670	4617	64197
671	4622	64171
672	4629	64156
673	4635	64138
674	4641	64116
675	4647	64104
676	4654	64090
677	4660	64084
678	4668	64083
679	4674	64070
680	4680	64043
681	4687	64037
682	4692	64017
683	4696	63964
684	4704	63971
685	4709	63941
686	4716	63930
687	4721	63910
688	4727	63882
689	4734	63879
690	4740	63857
691	4746	63845
692	4752	63819
693	4757	63791
694	4763	63781
695	4770	63772
696	4775	63741
697	4783	63741
698	4786	63691
699	4792	63667
700	4798	63650
701	4804	63629
702	4811	63628
703	4817	63616
704	4823	63589
705	4829	63582
706	4835	63560
707	4842	63559
708	4848	63539
709	4854	63525
710	4861	63520
711	4868	63503
712	4874	63493
713	4880	63479
714	4886	63455
715	4892	63444
716	4898	63423
717	4903	63396
718	4910	63390
719	4916	63368
720	4922	63354
721	4928	63328
722	4934	63311
723	4941	63311
724	4946	63285
725	4952	63260
726	4958	63250
727	4964	63232
728	4971	63227
729	4977	63203
730	4982	63180
731	4989	63175
732	4994	63147
733	5000	63122
734	5006	63111
735	5012	63091
736	5018	63077
737	5024	63056
738	5027	63004
739	5035	63013
740	5041	62990
741	5045	62958
742	5054	62972
743	5059	62948
744	5063	62899
745	5071	62909
746	5077	62888
747	5084	62885
748	5090	62867
749	5095	62844
750	5102	62838
751	5108	62817
752	5114	62812
753	5119	62782
754	5125	62759
755	5131	62750
756	5137	62731
757	5143	62706
758	5149	62699
759	5155	62685
760	5164	62696
761	5170	62681
762	5177	62680
763	5186	62702
764	5192	62677
765	5198	62663
766	5205	62659
767	5212	62656
768	5217	62631
769	5223	62610
770	5230	62613
771	5236	62591
772	5241	62560
773	5247	62546
774	5255	62556
775	5262	62557
776	5268	62534
777	5276	62539
778	5282	62527
779	5288	62515
780	5295	62506
781	5300	62480
782	5308	62484
783	5313	62460
784	5319	62439
785	5325	62424
786	5330	62398
787	5336	62389
788	5342	62368
789	5348	62350
790	5354	62340
791	5360	62323
792	5366	62302
793	5372	62294
794	5378	62272
795	5384	62257
796	5389	62235
797	5395	62215
798	5401	62198
799	5406	62174
800	5412	62156
801	5416	62123
802	5422	62104
803	5428	62088
804	5433	62059
805	5439	62042
806	5444	62024
807	5451	62012
808	5457	62000
809	5463	61987
810	5470	61979
811	5475	61952
812	5483	61959
813	5489	61948
814	5494	61920
815	5502	61924
816	5507	61900
817	5515	61907
818	5521	61891
819	5526	61870
820	5532	61853
821	5538	61837
822	5545	61835
823	5550	61813
824	5557	61808
825	5564	61799
826	5569	61775
827	5575	61764
828	5581	61742
829	5587	61729
830	5594	61729
831	5600	61714
832	5604	61673
833	5608	61639
834	5614	61622
835	5619	61596
836	5626	61593
837	5632	61576
838	5637	61550
839	5643	61537
840	5648	61517
841	5654	61506
842	5660	61489
843	5665	61463
844	5673	61469
845	5679	61458
846	5686	61449
847	5693	61444
848	5699	61431
849	5707	61442
850	5713	61424
851	5720	61421
852	5725	61397
853	5730	61372
854	5738	61381
855	5744	61359
856	5750	61348
857	5756	61340
858	5762	61321
859	5770	61323
860	5773	61280
861	5779	61267
862	5787	61269
863	5792	61250
864	5800	61260
865	5806	61247
866	5815	61256
867	5820	61232
868	5825	61212
869	5832	61203
870	5835	61158
871	5839	61131
872	5847	61129
873	5853	61116
874	5858	61097
875	5865	61095
876	5869	61054
877	5874	61032
878	5881	61034
879	5888	61025
880	5895	61021
881	5901	61010
882	5906	60986
883	5913	60979
884	5918	60957
885	5923	60931
886	5930	60933
